otu	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
otu259	6	16	8	18	3	6	13	0	9	20
otu1149	20	14	8	13	4	7	7	20	3	20
otu594	0	10	3	17	6	1	1	9	14	13
otu2963	18	20	13	14	2	12	3	17	2	16
otu215	3	12	10	4	8	6	18	14	15	8
otu1596	14	11	7	0	4	8	11	1	8	14
otu1388	8	15	1	6	6	6	20	20	9	3
otu655	3	4	7	15	10	16	16	9	10	10
otu1130	9	10	6	8	17	7	1	18	19	12
otu528	3	18	4	15	14	18	14	12	14	11
otu1630	13	16	2	14	12	4	3	6	7	5
otu253	18	17	11	0	5	8	10	5	5	5
otu653	17	20	16	5	2	7	3	20	2	4
otu1413	1	15	1	6	6	18	13	2	0	2
otu928	20	5	4	6	18	19	16	19	4	14
otu1049	19	19	4	10	1	19	1	5	7	6
otu1440	14	9	10	18	4	11	10	12	20	11
otu1331	3	7	5	9	18	16	2	13	19	5
otu1948	4	7	3	16	6	11	19	4	11	14
otu2247	12	19	0	11	1	6	5	9	7	6
otu1789	11	6	16	13	14	12	6	4	15	15
otu896	15	6	5	7	10	5	2	15	4	3
otu2297	10	7	18	10	11	16	7	11	14	11
otu91	19	18	11	13	0	19	12	4	0	7
otu236	5	3	19	12	17	2	16	18	8	11
otu855	17	12	3	15	15	16	17	6	15	12
otu987	3	5	1	16	8	15	3	17	1	7
otu1487	7	1	6	11	9	9	3	19	20	13
otu2432	3	13	7	5	5	7	1	17	2	0
otu2561	9	4	0	5	15	13	5	8	12	5
otu2038	3	6	9	8	5	9	19	9	15	10
otu1370	4	4	3	20	0	2	17	0	15	12
otu87	15	8	20	14	11	1	16	6	5	19
otu2833	14	4	5	11	6	20	3	4	11	14
otu588	0	5	9	1	12	18	12	3	16	20
otu2378	6	13	4	1	0	15	10	16	20	16
otu562	4	20	2	9	9	2	4	8	3	20
otu2591	2	10	7	13	8	8	13	10	0	13
otu2296	19	1	6	9	13	5	2	0	19	8
otu1079	1	19	14	15	2	2	1	19	0	4
otu1139	20	6	7	18	3	0	13	16	0	1
otu596	0	8	19	5	9	18	13	15	10	2
otu1888	15	0	16	9	19	0	6	9	6	7
otu333	9	11	1	8	8	5	3	18	12	4
otu1338	2	9	16	3	15	4	15	9	9	19
otu1577	8	10	1	8	4	6	6	4	5	7
otu1339	3	0	10	7	4	5	8	0	15	7
