otu	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
otu2961	10	1	7	0	5	2	19	17	4	3
otu685	16	11	14	12	2	6	17	16	14	6
otu1428	2	2	14	10	0	7	14	19	0	2
otu2535	20	11	11	19	11	10	7	3	20	17
otu546	6	10	10	4	13	13	19	11	18	5
otu987	7	2	4	12	5	14	2	5	5	3
otu2040	5	12	13	3	1	5	15	19	17	16
otu524	18	1	11	20	16	8	14	17	3	5
otu1346	16	10	16	3	5	17	9	1	1	17
otu2014	8	16	8	7	20	9	12	17	6	19
otu2868	12	9	6	20	0	3	11	9	20	10
otu1043	0	9	6	4	5	13	14	19	4	15
otu1129	11	2	20	6	8	9	15	18	17	5
otu159	10	12	3	12	7	14	14	14	11	15
otu55	5	1	17	3	13	1	10	18	20	5
otu2850	7	7	0	1	14	4	6	6	9	9
otu2657	13	20	13	17	15	10	7	8	14	12
otu2899	14	0	10	2	0	11	1	2	13	7
otu865	3	19	12	19	11	14	17	15	15	1
otu2810	10	2	16	20	13	10	11	18	20	2
otu1948	13	2	20	13	16	8	5	8	13	16
otu2536	14	10	3	18	17	4	17	18	16	2
otu2858	15	7	4	14	20	2	16	16	12	11
otu866	18	6	19	2	7	17	20	7	9	19
otu1508	10	12	8	19	17	7	17	19	6	11
otu1238	8	5	17	1	20	10	7	18	20	7
otu2860	1	20	7	9	17	17	19	5	4	19
otu754	15	3	6	11	4	9	1	12	18	6
otu2646	7	3	15	4	5	12	20	2	17	19
otu972	3	16	16	15	14	3	16	12	7	8
otu22	3	16	3	18	7	0	15	0	8	12
otu270	11	11	5	1	18	3	16	15	12	19
otu1679	6	19	16	13	3	14	13	0	2	15
otu1555	3	13	7	2	5	20	0	6	16	3
otu1814	10	9	5	10	5	3	18	12	0	9
otu46	6	1	4	19	10	8	18	15	19	15
otu60	0	1	5	5	15	3	8	10	19	11
otu2916	3	14	18	9	15	1	10	13	10	20
otu2801	9	19	16	9	20	1	5	13	5	4
